,Incident.year,Victim.injury,State,Latitude,Longitude,Shark.common.name,Shark.scientific.name,Provoked/unprovoked,Site.category,Incident.month
261,1928,fatal,NSW,-32.93333333,151.75,white shark,Carcharodon carcharias ,unprovoked,coastal,4
262,1928,injured,QLD,-10.58333333,142.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,7
263,1928,injured,QLD,-10.58333333,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,12
264,1929,fatal,QLD,-19.13333333,146.8333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,1
265,1929,injured,SA,-34.41666667,137.9166667,wobbegong,Orectolobidae,provoked,coastal,1
266,1929,fatal,NSW,-33.88333333,151.2666667,white shark,Carcharodon carcharias ,unprovoked,coastal,1
267,1929,injured,NSW,-35.03333333,150.7166667,wobbegong,Orectolobidae,provoked,coastal,2
268,1929,fatal,NSW,-33.93333333,151.25,white shark,Carcharodon carcharias ,unprovoked,coastal,2
269,1929,fatal,NSW,-33.88333333,151.2666667,white shark,Carcharodon carcharias ,unprovoked,coastal,2
270,1929,uninjured,SA,-34.96666667,138.5,white shark,Carcharodon carcharias ,unprovoked,coastal,2
271,1929,injured,QLD,-19.51666667,148.8333333,unknown,unknown,provoked,island open ocean,3
272,1929,injured,SA,-34.41666667,137.9166667,wobbegong,Orectolobidae,unprovoked,coastal,3
273,1929,injured,SA,-34.41666667,137.9166667,wobbegong,Orectolobidae,unprovoked,coastal,3
274,1929,fatal,QLD,-9.416666667,142.5333333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,3
275,1929,injured,QLD,-21,149.8833333,tiger shark,Galeocerdo cuvier ,provoked,coastal,4
276,1929,injured,QLD,-26.98333333,153.0666667,bull shark,Carcharhinus leucas,provoked,coastal,4
277,1929,fatal,QLD,-10.11666667,142.1333333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,4
278,1929,injured,QLD,-10.05,143.0666667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,5
279,1929,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,9
280,1929,fatal,QLD,-19.45,146.6,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,9
281,1929,injured,QLD,-10.11666667,142.1333333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,10
282,1929,fatal,QLD,-19.45,146.6,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
283,1929,injured,NSW,-33.71666667,151.3,wobbegong,Orectolobidae,unprovoked,island open ocean,12
284,1929,fatal,NSW,-33.85,151.1833333,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
285,1929,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,12
286,1929,uninjured,QLD,-28.16666667,153.5333333,unknown,unknown,unprovoked,coastal,12
287,1930,injured,QLD,-10.15,142.1833333,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
288,1930,fatal,VIC,-37.9,144.9833333,white shark,Carcharodon carcharias ,unprovoked,coastal,2
289,1930,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,2
290,1930,fatal,QLD,-9.95,142.1833333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,6
291,1930,fatal,QLD,-10.25,142.1,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,7
292,1930,injured,WA,-28.76666667,114.6,wobbegong,Orectolobidae,provoked,coastal,8
293,1930,injured,NSW,-33.83333333,151.0666667,bull shark,Carcharhinus leucas,unprovoked,river,12
294,1931,injured,NSW,-33.8,151.2333333,wobbegong,Orectolobidae,provoked,estuary/harbour,1
295,1931,injured,QLD,-23.11666667,150.7333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,1
296,1931,injured,QLD,-10.58333333,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
297,1931,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
298,1931,fatal,QLD,-19.45,146.6,bull shark,Carcharhinus leucas,provoked,estuary/harbour,3
299,1931,injured,QLD,-17.53333333,146.0166667,tiger shark,Galeocerdo cuvier ,provoked,coastal,11
300,1932,injured,QLD,-27.6,152.7666667,bull shark,Carcharhinus leucas,unprovoked,river,1
301,1932,injured,QLD,-23.83333333,151.2166667,bull shark,Carcharhinus leucas,provoked,river,2
302,1932,injured,NSW,-34.36666667,150.9166667,wobbegong,Orectolobidae,provoked,coastal,2
303,1932,injured,QLD,-16.91666667,145.7666667,tiger shark,Galeocerdo cuvier ,provoked,coastal,5
304,1932,fatal,QLD,-9.4,142.6666667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,5
305,1932,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,8
306,1932,injured,NSW,-33,151.7166667,white shark,Carcharodon carcharias ,unprovoked,coastal,10
307,1932,injured,NT,-11.93333333,132.6166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,12
308,1933,fatal,QLD,-19.25,146.8166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,1
309,1933,uninjured,WA,-31.96666667,115.85,bull shark,Carcharhinus leucas,provoked,river,2
310,1933,injured,QLD,-14.15,144.5,tiger shark,Galeocerdo cuvier ,provoked,coastal,2
311,1933,injured,QLD,-20.96666667,149.75,tiger shark,Galeocerdo cuvier ,provoked,ocean/pelagic,3
312,1933,uninjured,NT,-12.45,130.8333333,unknown,unknown,provoked,coastal,6
313,1933,injured,QLD,-28.13333333,153.4666667,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,6
314,1933,uninjured,WA,-17.96666667,122.1666667,tiger shark,Galeocerdo cuvier ,provoked,coastal,7
315,1933,fatal,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,9
316,1933,injured,QLD,-14.15,144.5,tiger shark,Galeocerdo cuvier ,provoked,coastal,10
317,1933,injured,NSW,-29.1,153.4333333,wobbegong,Orectolobidae,provoked,coastal,10
318,1934,injured,NSW,-33.98333333,151.0666667,bull shark,Carcharhinus leucas,unprovoked,river,1
319,1934,injured,NSW,-33.78333333,151.2833333,white shark,Carcharodon carcharias ,unprovoked,coastal,1
320,1934,uninjured,QLD,-20,148.45,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
321,1934,injured,QLD,-10.6,142.6166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,2
322,1934,fatal,NSW,-33.75,151.3,white shark,Carcharodon carcharias ,unprovoked,coastal,3
323,1934,injured,QLD,-28.15,153.4833333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,4
324,1934,fatal,NSW,-33.78333333,151.2833333,white shark,Carcharodon carcharias ,unprovoked,coastal,4
325,1934,fatal,QLD,-18.23333333,146.3166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,8
326,1934,fatal,QLD,-9.966666667,143.2666667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,10
327,1934,fatal,NT,-11.66666667,132.5166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,10
328,1934,injured,NSW,-33.95,151.9666667,bull shark,Carcharhinus leucas,unprovoked,river,12
329,1934,fatal,NSW,-33.93333333,150.9666667,bull shark,Carcharhinus leucas,unprovoked,river,12
330,1934,fatal,NSW,-33.48333333,151.3,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
331,1934,injured,NSW,-33.48333333,151.3,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
332,1935,fatal,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,1
333,1935,injured,NSW,-34.3,150.9333333,white shark,Carcharodon carcharias ,unprovoked,coastal,2
334,1935,fatal,NSW,-33.93333333,151.25,white shark,Carcharodon carcharias ,unprovoked,coastal,3
335,1935,injured,QLD,-21.16666667,149.2333333,whaler shark,Carcharhinidae,unprovoked,coastal,3
336,1935,injured,QLD,-14.66666667,145.45,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,3
337,1935,fatal,NSW,-33.7,151.3,white shark,Carcharodon carcharias ,unprovoked,coastal,3
338,1935,injured,QLD,-9.4,142.6666667,whaler shark,Carcharhinidae,provoked,island open ocean,5
339,1935,fatal,QLD,-9.4,142.6666667,tiger shark,Galeocerdo cuvier ,provoked,coastal,8
340,1935,injured,QLD,-17.53333333,146.0166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,11
341,1936,uninjured,NSW,-33.88333333,151.2666667,white shark,Carcharodon carcharias ,provoked,coastal,1
342,1936,injured,WA,-20.66666667,117.1833333,tiger shark,Galeocerdo cuvier ,provoked,coastal,1
343,1936,fatal,SA,-34.9,137,white shark,Carcharodon carcharias ,unprovoked,coastal,1
344,1936,fatal,NSW,-33.78333333,151.2833333,white shark,Carcharodon carcharias ,unprovoked,coastal,2
345,1936,uninjured,QLD,-27.43333333,153.0833333,bull shark,Carcharhinus leucas,unprovoked,river,2
346,1936,injured,QLD,-12.78333333,143.6,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,3
347,1936,injured,QLD,-12.16666667,143.3833333,whaler shark,Carcharhinidae,unprovoked,river,3
348,1936,injured,QLD,-16.7,146.05,tiger shark,Galeocerdo cuvier ,provoked,Ocean/pelagic,4
349,1936,injured,QLD,-20.81666667,149.4833333,unknown,unknown,provoked,coastal,5
350,1936,fatal,QLD,-10.6,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,6
351,1936,injured,QLD,-20.81666667,149.4833333,tiger shark,Galeocerdo cuvier ,provoked,coastal,7
352,1936,injured,QLD,-9.95,142.1833333,whaler shark,Carcharhinidae,provoked,island open ocean,8
353,1936,injured,WA,-31.98333333,115.5333333,wobbegong,Orectolobidae,provoked,island open ocean,11
354,1936,injured,NSW,-33.95,151.15,wobbegong,Orectolobidae,unprovoked,coastal,11
355,1936,fatal,NSW,-32.9,151.75,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
356,1937,injured,QLD,-10.58333333,142.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,1
357,1937,fatal,NSW,-32.93333333,151.75,white shark,Carcharodon carcharias ,unprovoked,coastal,2
358,1937,injured,NSW,-30.91666667,153.0833333,wobbegong,Orectolobidae,unprovoked,coastal,2
359,1937,fatal,QLD,-19.45,146.6,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,5
360,1937,injured,QLD,-9.95,142.1833333,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,8
361,1937,injured,NSW,-28.63333333,153.6166667,white shark,Carcharodon carcharias ,unprovoked,coastal,10
362,1937,fatal,QLD,-28.16666667,153.5166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,10
363,1937,fatal,QLD,-28.16666667,153.5166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,10
364,1937,injured,QLD,-23.38333333,150.5166667,bull shark,Carcharhinus leucas,unprovoked,river,11
365,1937,injured,QLD,-18.53333333,146.2333333,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,11
366,1938,injured,QLD,-18.13333333,146.25,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
367,1938,injured,NSW,-33.85,151.25,bull shark,Carcharhinus leucas,provoked,estuary/harbour,1
368,1938,uninjured,NSW,-34.03333333,151.15,white shark,Carcharodon carcharias ,unprovoked,coastal,1
369,1938,injured,NT,-12.03333333,134.2,whaler shark,Carcharhinidae,unprovoked,estuary/harbour,3
370,1938,fatal,QLD,-10.56666667,142.1666667,unknown,unknown,provoked,island open ocean,6
371,1938,fatal,NT,-11.4,130.4,whaler shark,Carcharhinidae,provoked,island open ocean,7
372,1938,injured,QLD,-27.43333333,153.1666667,tiger shark,Galeocerdo cuvier ,provoked,coastal,10
373,1938,injured,QLD,-27.35,153.1166667,wobbegong,Orectolobidae,provoked,coastal,11
374,1939,uninjured,NSW,-29.41666667,152.3333333,bull shark,Carcharhinus leucas,provoked,river,1
375,1939,injured,QLD,-9.95,142.1666667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,9
376,1939,injured,QLD,-16.71666667,154.6833333,unknown,unknown,unprovoked,island open ocean,10
377,1939,injured,QLD,-12.61666667,143.45,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,10
378,1939,injured,NSW,-33.98333333,151.0666667,bull shark,Carcharhinus leucas,unprovoked,river,12
379,1939,fatal,QLD,-21.16666667,149.2333333,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
380,1940,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,provoked,island open ocean,1
381,1940,injured,QLD,-27.48333333,153.0166667,bull shark,Carcharhinus leucas,unprovoked,river,1
382,1940,injured,QLD,-28,153.4166667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,1
383,1940,fatal,NSW,-33.95,151.15,tiger shark,Galeocerdo cuvier ,unprovoked,estuary/harbour,1
384,1940,fatal,NSW,-33.95,151.15,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,2
385,1940,injured,NSW,-34.73333333,150.8333333,wobbegong,Orectolobidae,provoked,coastal,3
386,1940,injured,QLD,-21.4,150.5333333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,5
387,1940,fatal,NSW,-32.85,151.8333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,12
388,1941,injured,QLD,-10.56666667,142.2166667,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,10
389,1941,fatal,QLD,-10.11666667,142.1333333,tiger shark,Galeocerdo cuvier ,unprovoked,island open ocean,10
390,1941,injured,WA,-26.46666667,110.2666667,unknown,unknown,unprovoked,ocean/pelagic,11
391,1941,injured,WA,-24.88333333,113.65,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
392,1942,fatal,NSW,-33.76666667,151.2166667,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,1
393,1942,uninjured,NSW,-33.78333333,151.2833333,white shark,Carcharodon carcharias ,provoked,coastal,1
394,1942,injured,QLD,-17.7,146.5166667,tiger shark,Galeocerdo cuvier ,provoked,coastal,5
395,1942,injured,QLD,-20.08333333,148.8833333,unknown,unknown,provoked,island open ocean,8
396,1942,injured,QLD,-16.78333333,145.7,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,9
397,1942,fatal,NSW,-33.76666667,151.2166667,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,12
398,1943,injured,NT,-12.46666667,130.8333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,1
399,1944,injured,NSW,-32.16666667,152.5166667,white shark,Carcharodon carcharias ,unprovoked,coastal,1
400,1945,injured,NSW,-33.95,151.25,wobbegong,Orectolobidae,provoked,coastal,2
401,1945,fatal,QLD,-16.71666667,145.6666667,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,6
402,1946,injured,QLD,-19.25,146.8166667,unknown,unknown,unprovoked,coastal,1
403,1946,fatal,NSW,-33.98333333,151.0833333,bull shark,Carcharhinus leucas,unprovoked,river,1
404,1946,injured,WA,-31.93333333,115.75,white shark,Carcharodon carcharias ,unprovoked,coastal,2
405,1946,fatal,QLD,-16.78333333,145.7,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,4
406,1946,fatal,QLD,-16.71666667,145.6333333,tiger shark,Galeocerdo cuvier ,unprovoked,coastal,8
407,1946,injured,NSW,-33.05,151.6333333,bull shark,Carcharhinus leucas,unprovoked,estuary/harbour,10
